listid,listname
49,abdera
50,accumulo
51,ace
52,activemq
253,agila
53,airavata
54,airflow
55,allura
254,alois
255,altrmi
1,amaterasu
56,ambari
57,amber
2,annotator
58,any23
59,apex
60,apollo
256,ariatosca
61,aries
62,asterixdb
63,atlas
64,aurora
257,awf
258,axion
3,batchee
65,beam
66,bean validation
67,beehive
68,bigtop
69,bloodhound
259,bluesky
260,blur
70,brooklyn
4,brpc
71,buildr
72,calcite
73,carbondata
74,cassandra
75,cayenne
76,celix
77,chemistry
78,chukwa
79,clerezza
80,click
261,climate model diagnostic analyzer
81,cloudstack
82,commonsrdf
262,composer
263,concerted
83,cordova
264,corinthia
265,cotton
84,couchdb
5,crail
85,crunch
86,ctakes
87,curator
88,cxf
6,daffodil
89,datafu
7,datasketches
90,deltacloud
91,deltaspike
266,depot
92,derby
93,devicemap
94,directmemory
95,directory
96,distributedlog
8,dlab
9,dolphinscheduler
10,doris
97,drill
267,droids
11,druid
98,dubbo
99,eagle
100,easyant
12,echarts
13,edgent
101,empire-db
102,esme
103,etch
104,falcon
105,felix
106,fineract
14,flagon
107,flex
108,flink
109,flume
110,fluo
111,freemarker
112,ftpserver
268,gearpump
113,geode
114,geronimo
115,giraph
15,gobblin
116,gora
269,gossip
270,graffito
117,griffin
118,groovy
119,guacamole
271,hadoop development tools (hdt)
120,hama
121,harmony
122,hawq
123,hcatalog
124,helix
272,heraldry
125,hermes
16,heron
273,hise
17,hivemall
274,horn
275,htrace
126,httpd-cli
18,hudi
127,ibatis
19,iceberg
128,ignite
129,impala
276,imperius
277,iota
20,iotdb
130,isis
131,ivy
132,jackrabbit
133,jaxme
134,jclouds
135,jdo
136,jena
137,johnzon
138,joshua
139,jspwiki
140,juddi
278,juice
141,juneau
279,kabuki
142,kafka
280,kalumet
281,kato
282,kitty
143,knox
144,kudu
145,kylin
146,lens
147,lenya
148,libcloud
21,livy
149,log4cxx
150,log4cxx2
151,log4net
152,log4php
283,lokahi
153,lucene.net
284,lucene4c
154,lucy
155,madlib
156,manifoldcf
157,marmotta
22,marvin-ai
158,merlindeveloper
159,mesos
160,metamodel
161,metron
23,milagro
162,mnemonic
163,mod_ftp
285,mrql
164,mrunit
165,muse
24,mxnet
166,myfaces
167,mynewt
25,myriad
26,nemo
168,netbeans
169,nifi
286,nmaven
287,npanday
170,nutch
171,nuvem
172,ode
288,odf toolkit
173,ofbiz
174,ognl
175,olingo
289,olio
27,omid
176,onami
177,oodt
178,oozie
179,open climate workbench
290,openaz
180,openejb
181,openjpa
182,openmeetings
183,opennlp
184,openoffice.org
185,openwebbeans
186,openwhisk
28,pagespeed
187,parquet
188,pdfbox
189,phoenix
291,photark
190,pig
29,pinot
292,pirk
191,pivot
192,plc4x
193,pluto
30,pony mail
194,predictionio
293,provisionr
195,pulsar
196,qpid
294,quickstep
197,ranger
198,rat
31,ratis
199,rave
295,rcf
200,reef
296,ripple
201,river
202,rocketmq
203,roller
32,rya
33,s2graph
297,s4
34,samoa
204,samza
205,sanselan
35,sdap
206,sentry
207,servicecomb
208,servicemix
36,shardingsphere
209,shindig
210,shiro
37,singa
298,sirona
211,sis
212,skywalking
299,slider
213,sling
300,socialsite
214,solr
215,spamassassin
216,spark
38,spot
217,sqoop
218,stanbol
219,stdcxx
301,stonehenge
220,storm
221,stratos
222,streams
223,subversion
39,superset
224,synapse
225,syncope
226,systemml
227,tajo
40,tamaya
228,tapestry
302,tashi
41,taverna
42,tephra
229,tez
230,thrift
231,tika
232,tinkerpop
233,tobago
43,toree
234,traffic control
235,traffic server
236,trafodion
44,training
237,trinidad
303,triplesoup
304,tsik
238,tuscany
45,tuweni
46,tvm
239,twill
240,uima
241,unomi
242,usergrid
243,vcl
244,vxquery
305,wadi
47,warble
306,wave
245,webwork 2
48,weex
246,whirr
247,wicket
248,wink
249,woden
250,wookie
307,wsrp4j
308,xap
251,xmlbeans
309,xmlbeans/c++
310,yoko
252,zeppelin
311,zeta components
312,zipkin
